image,x,y,w,h,label,abs_pos
\content\images\1.png,13,19,54,49,𒐋,p_1_line_1_pos_1.png
\content\images\1.png,72,20,112,51,𒇻,p_1_line_1_pos_2.png
\content\images\1.png,119,18,161,48,𒀴,p_1_line_1_pos_3.png
\content\images\1.png,177,26,201,44,𒀸,p_1_line_1_pos_4.png
\content\images\1.png,204,19,258,48,𒋗,p_1_line_1_pos_5.png
\content\images\1.png,17,68,40,98,𒀀,p_1_line_2_pos_1.png
\content\images\1.png,45,66,85,96,𒈾,p_1_line_2_pos_2.png
\content\images\1.png,93,67,126,105,𒐍,p_1_line_2_pos_3.png
\content\images\1.png,145,67,199,100,𒂆,p_1_line_2_pos_4.png
\content\images\1.png,250,64,282,95,𒌓,p_1_line_2_pos_6.png
\content\images\1.png,299,65,352,98,𒆬,p_1_line_2_pos_7.png
\content\images\1.png,16,116,38,148,𒃻,p_1_line_3_pos_1.png
\content\images\1.png,57,116,93,149,𒄿,p_1_line_3_pos_2.png
\content\images\1.png,98,110,137,149,𒁲,p_1_line_3_pos_3.png
\content\images\1.png,158,117,194,149,𒂍,p_1_line_3_pos_4.png
\content\images\1.png,16,166,73,198,𒀉,p_1_line_4_pos_1.png
\content\images\1.png,89,166,139,200,𒋫,p_1_line_4_pos_2.png
\content\images\1.png,148,166,180,199,𒁷,p_1_line_4_pos_3.png
\content\images\1.png,199,167,229,199,𒐊,p_1_line_4_pos_4.png
\content\images\1.png,245,166,288,199,𒇻,p_1_line_4_pos_5.png
\content\images\1.png,296,165,339,195,𒀴,p_1_line_4_pos_6.png
\content\images\1.png,354,166,379,196,𒃻,p_1_line_4_pos_7.png
\content\images\1.png,392,166,407,194,𒁹,p_1_line_4_pos_8.png
\content\images\1.png,420,161,479,193,𒅗,p_1_line_4_pos_9.png
\content\images\1.png,489,162,554,195,𒈲,p_1_line_4_pos_10.png
\content\images\1.png,15,219,36,246,𒀀,p_1_line_5_pos_1.png
\content\images\1.png,36,219,58,255,𒋙,p_1_line_5_pos_2.png
\content\images\1.png,59,219,80,249,𒃻,p_1_line_5_pos_3.png
\content\images\1.png,88,220,103,247,𒁹,p_1_line_5_pos_4.png
\content\images\1.png,110,219,174,257,𒀭+𒂗,p_1_line_5_pos_5.png
\content\images\1.png,177,217,213,249,𒈬,p_1_line_5_pos_6.png
\content\images\1.png,230,220,257,251,𒀀,p_1_line_5_pos_7.png
\content\images\1.png,264,217,303,245,𒈾,p_1_line_5_pos_8.png
\content\images\1.png,319,218,352,257,𒐌,p_1_line_5_pos_9.png
\content\images\1.png,370,217,421,248,𒂆,p_1_line_5_pos_10.png
\content\images\1.png,433,218,461,248,𒐉,p_1_line_5_pos_11.png
\content\images\1.png,459,217,487,244,𒌓,p_1_line_5_pos_12.png
\content\images\1.png,15,268,61,299,𒆬,p_1_line_6_pos_1.png
\content\images\1.png,18,318,60,349,𒌑,p_1_line_7_pos_1.png
\content\images\1.png,74,319,99,354,𒃻,p_1_line_7_pos_2.png
\content\images\1.png,110,318,141,351,𒄭,p_1_line_7_pos_3.png
\content\images\1.png,153,318,204,350,𒋢,p_1_line_7_pos_4.png
\content\images\1.png,237,321,261,350,𒀀,p_1_line_7_pos_5.png
\content\images\1.png,272,318,311,348,𒈾,p_1_line_7_pos_6.png
\content\images\1.png,328,312,368,349,𒊮,p_1_line_7_pos_7.png
\content\images\1.png,374,317,411,348,𒁉,p_1_line_7_pos_8.png
\content\images\1.png,441,316,487,349,𒋧,p_1_line_7_pos_9.png
\content\images\1.png,492,316,536,345,𒈾,p_1_line_7_pos_10.png
\content\images\1.png,17,366,36,397,𒁹,p_1_line_8_pos_1.png
\content\images\1.png,59,368,103,399,𒇻,p_1_line_8_pos_2.png
\content\images\1.png,120,366,164,396,𒀴,p_1_line_8_pos_3.png
\content\images\1.png,189,367,214,396,𒀀,p_1_line_8_pos_4.png
\content\images\1.png,224,365,269,394,𒈾,p_1_line_8_pos_5.png
\content\images\1.png,286,367,303,396,𒁹,p_1_line_8_pos_6.png
\content\images\1.png,319,367,377,399,𒂆,p_1_line_8_pos_7.png
\content\images\1.png,394,367,426,400,𒐉,p_1_line_8_pos_8.png
\content\images\1.png,433,365,463,395,𒌓,p_1_line_8_pos_9.png
\content\images\1.png,482,365,542,398,𒆬,p_1_line_8_pos_10.png
\content\images\1.png,32,428,54,444,𒀸,p_1_line_9_pos_1.png
\content\images\1.png,62,420,116,452,𒋗,p_1_line_9_pos_2.png
\content\images\1.png,27,470,41,497,𒁹,p_1_line_10_pos_1.png
\content\images\1.png,58,469,100,502,𒇻,p_1_line_10_pos_2.png
\content\images\1.png,113,468,156,500,𒀴,p_1_line_10_pos_3.png
\content\images\1.png,181,468,206,501,𒃻,p_1_line_10_pos_4.png
\content\images\1.png,230,470,249,498,𒁹,p_1_line_10_pos_5.png
\content\images\1.png,15,518,49,552,𒀀,p_1_line_11_pos_1.png
\content\images\1.png,47,518,85,547,𒈾,p_1_line_11_pos_2.png
\content\images\1.png,127,520,145,548,𒁹,p_1_line_11_pos_3.png
\content\images\1.png,162,520,215,552,𒂆,p_1_line_11_pos_4.png
\content\images\1.png,19,558,46,577,𒉽,p_1_line_12_pos_1.png
\content\images\1.png,77,615,123,651,𒆪,p_1_line_14_pos_2.png
\content\images\10.png,69,14,118,44,𒂆,p_10_line_1_pos_2.png
\content\images\10.png,139,14,190,45,𒆬,p_10_line_1_pos_3.png
\content\images\10.png,10,66,29,98,𒃻,p_10_line_2_pos_1.png
\content\images\10.png,139,64,162,95,𒃻,p_10_line_2_pos_3.png
\content\images\10.png,182,61,232,95,𒆍,p_10_line_2_pos_4.png
\content\images\10.png,240,62,292,94,𒃲,p_10_line_2_pos_5.png
\content\images\10.png,310,62,374,98,𒀭+𒂗,p_10_line_2_pos_6.png
\content\images\10.png,12,114,31,146,𒃻,p_10_line_3_pos_1.png
\content\images\10.png,44,113,98,144,𒌌,p_10_line_3_pos_2.png
\content\images\10.png,110,112,169,146,𒌅,p_10_line_3_pos_3.png
\content\images\10.png,185,111,217,142,𒌓,p_10_line_3_pos_4.png
\content\images\10.png,280,110,324,146,𒄰,p_10_line_3_pos_6.png
\content\images\10.png,338,114,363,146,𒃻,p_10_line_3_pos_7.png
\content\images\10.png,372,110,422,144,𒌗,p_10_line_3_pos_8.png
\content\images\10.png,435,112,483,143,𒀊,p_10_line_3_pos_9.png
\content\images\10.png,11,165,34,196,𒀀,p_10_line_4_pos_1.png
\content\images\10.png,41,157,82,198,𒁲,p_10_line_4_pos_2.png
\content\images\10.png,99,162,128,193,𒌓,p_10_line_4_pos_3.png
\content\images\10.png,142,164,173,194,𒐋,p_10_line_4_pos_4.png
\content\images\10.png,186,163,228,197,𒄰,p_10_line_4_pos_5.png
\content\images\10.png,257,165,280,195,𒃻,p_10_line_4_pos_6.png
\content\images\10.png,296,162,348,195,𒌗,p_10_line_4_pos_7.png
\content\images\10.png,361,162,390,196,𒊺,p_10_line_4_pos_8.png
\content\images\10.png,12,214,27,241,𒁹,p_10_line_5_pos_1.png
\content\images\10.png,41,212,77,244,𒂟,p_10_line_5_pos_2.png
\content\images\10.png,89,212,128,244,𒂊,p_10_line_5_pos_3.png
\content\images\10.png,141,212,166,241,𒀀,p_10_line_5_pos_4.png
\content\images\10.png,192,213,217,243,𒀀,p_10_line_5_pos_5.png
\content\images\10.png,222,214,245,248,𒋙,p_10_line_5_pos_6.png
\content\images\10.png,248,214,270,245,𒃻,p_10_line_5_pos_7.png
\content\images\10.png,283,213,299,242,𒁹,p_10_line_5_pos_8.png
\content\images\10.png,317,212,382,249,𒀭+𒂗,p_10_line_5_pos_9.png
\content\images\10.png,384,213,420,245,𒁀,p_10_line_5_pos_10.png
\content\images\10.png,429,214,449,248,𒃻,p_10_line_5_pos_11.png
\content\images\10.png,21,319,42,346,𒀀,p_10_line_6_pos_1.png
\content\images\10.png,62,317,96,347,𒇽,p_10_line_6_pos_2.png
\content\images\10.png,112,318,162,350,𒋃,p_10_line_6_pos_3.png
\content\images\10.png,177,317,217,346,𒀭,p_10_line_6_pos_4.png
\content\images\10.png,225,316,268,343,𒈾,p_10_line_6_pos_5.png
\content\images\10.png,273,315,314,343,𒈾,p_10_line_6_pos_6.png
\content\images\10.png,319,315,344,345,𒀀,p_10_line_6_pos_7.png
\content\images\10.png,364,321,387,338,𒀸,p_10_line_6_pos_8.png
\content\images\10.png,397,316,449,347,𒋗,p_10_line_6_pos_9.png
\content\images\10.png,16,367,29,395,𒁹,p_10_line_7_pos_1.png
\content\images\10.png,38,367,78,394,𒀭,p_10_line_7_pos_2.png
\content\images\10.png,84,363,147,397,𒀫,p_10_line_7_pos_3.png
