6,𒐋
udu,𒇻
nita2,𒀴
ina,𒀸
šu,𒋗
II,𒅀
I,𒁹
d+en,𒀭+𒂗
gi,𒄀
a,𒀀
šú,𒋙
šá,𒃻
d,𒀭
na,𒈾
8,𒐍
gín,𒂆
4,𒐉
tú,𒌓
kù,𒆬
babbar,𒌓
i,𒄿
di,𒁲
é,𒂍
ra,𒊏
it,𒀉
ta,𒋫
din,𒁷
5,𒐊
ka,𒅗
ṣir,𒈲
mu,𒈬
7,𒐌
muh,𒌋𒅗
hi,𒄭
dul,𒌋𒌆
lu,𒇻
ú,𒌑
su,𒋢
lìb,𒊮
bi,𒁉
sì,𒋧
1,𒁹
utu,𒌓
ba,𒁀
DU,𒁺
pap,𒉽
13,𒌋𒐈
meš,𒈨𒌍
iti,𒌗
du6,𒇯
u4,𒌓
sag,𒊕
nam,𒉆
lugal,𒈗
la,𒆷
ku,𒆪
áš,𒀾
tin,𒁷
tir,𒌁
ki,𒆠
u,𒌋
kur,𒆳
gur,𒄥
še,𒊺
bar,𒁇
kurum6,𒉻
há,𒄭𒀀
lú,𒇽
erin2,𒂟
e,𒂊
piš,𒄫
qí,𒆠
pi,𒉿
gal,𒃲
10,𒌋
tì,𒁴
apin,𒀳
24,𒌋𒌋𒐉
kam,𒄰
",1",",1"
0.4,0.4
numun,𒆰
šul,𒂄
g,g
uru,𒌷
up,𒌒
pa,𒉺
tu4,𒌈
mi,𒈪
re,𒊑
eš,𒌍
ù,𒅇
ga,𒂵
pu,𒁍
ut,𒌓
ha,𒄩
ti,𒋾
d+nà,𒀭+𒈾
iṭ,𒀉
dù,𒆕
šeš,𒋀
gin,𒁺
amar,𒀫
ad,𒀜
tu,𒌅
ugu,𒌋𒅗
ús,𒍑
sa,𒊓
du,𒁺
KI,𒆠
si,𒋛
ia,𒅀
tab,𒋰
né,𒉌
ma,𒈠
ir,𒅕
im,𒅎
bé,𒁉
šám,𒉚
gam,𒃵
ru,𒊒
ši,𒅆
bir,𒄵
pil,𒉈
za,𒍝
gúm,𒄣
ul,𒌌
tur,𒌉
dumu,𒌉
kim,𒁶
ni,𒉌
qab,𒃮
bu,𒁍
um,𒌝
šà,𒊮
kàs,𒄤
hír,𒆟
qir,𒄫
nu,𒉡
hur,𒄯
uʾ,𒀪
ṭa,𒁕
ri,𒊑
ṭup,𒁾
igi,𒅆
mil,𒅖
sanga,𒋃
me,𒈨
30,𒌍
en,𒂗
dub,𒁾
umbisag,𒋃
da,𒁕
qu,𒄣
gan,𒃶
al,𒀠
ur,𒌨
1%3,𒑚
síg,𒋠
hé,𒃶
lá,𒇲
túg,𒌆
2,𒈫
uri3,𒌶
gur7,𒄦
saggar2,𒄯
man,𒌋𒌋
an,𒀭
is,𒄑
sat,𒆳
zíz,𒍩
11,𒌋𒁹
gu4,𒄞
18,𒌋𒐍
",2",",2"
0.3,0.3
uz,𒊻
mušen,𒄷
ku4,𒆭
sikil,𒂖
20,𒌋𒌋
at,𒀜
tan,𒆗
",4",",4"
3,𒐈
šir,𒋓
am,𒄠
šam,𒌑
mun,𒁵
sah,𒆤
le,𒇷
12,𒌋𒈫
0.1,0.1
1%2,𒈦
qa,𒋡
ih,𒄴
ṣi,𒍢
te,𒋼
uš,𒍑
azalag,𒌆𒌓
gada,𒃰
šal,𒊩
hu,𒄷
gú,𒄘
hal,𒄬
ṣu,𒍮
murub4,𒉠
íb,𒌈
è,𒌓𒁺
ne,𒉈
mí,𒊩
UD,𒌓
gìn,𒆳
gašan,𒃽
sip,𒈨
par,𒌓
íg,𒅅
1en,1en
gu,𒄖
IM,𒅎
ša,𒊭
zalag2,𒂟
lat,𒆳
gíd,𒁍
9,𒑆
mah,𒈤
kin,𒆥
bul,𒇧
liṭ,𒀖
ba4,𒂷
ibila,𒌉𒍑
21,𒌋𒌋𒁹
níg,𒃻
i7,𒀀𒇉
àm,𒀀𒀭
kimin,𒆠𒈫
in,𒅔
ninda,𒃻
80,𒐕𒌋𒌋
ár,𒌒
0.2,0.2
anše,𒀲
ku5,𒋻
84,𒐕𒌋𒌋𒐉
tel,𒌀
19,𒌋𒑆
bàd,𒂦
ká,𒆍
líl,𒆤
14,𒌋𒐉
ab,𒀊
ṭi,𒁲
gar,𒃻
un,𒌦
ap,𒀊
qiš,𒆧
ìr,𒀴
ṭir,𒋛𒀀
húb,𒄽
d+innin,𒀭+𒈹
gi4,𒄄
bár,𒁇
raš,𒆜
lim,𒅆
il,𒅋
sum,𒋧
sar,𒊬
qal,𒃲
kup,𒁺
rit,𒈩
iq,𒅅
eduru,𒀁
dan,𒆗
bahar2,𒁃
sá,𒁲
lul,𒈜
bal,𒁄
ip,𒅁
tuk,𒌇
lunga,𒋆
zú,𒅗
lum,𒈝
16,𒌋𒐋
kal,𒆗
PA,𒉺
nun,𒉣
ṣur,𒀫
sep,𒈨
0.5,0.5
gì,𒐕
zu,𒍪
25,𒌋𒌋𒐊
kar,𒋼𒀀
sig4,𒋞
zi,𒍣
iá,𒐊
maš,𒈦
šes,𒋀
ib,𒅁
šur,𒋩
dingir,𒀭
gál,𒅅
76,𒐕𒌋𒐋
izi,𒉈
17,𒌋𒐌
kil,𒆸
li,𒇷
id,𒀉
sik,𒋝
kát,𒆐
ašgab,𒀿
ŠI,𒅆
40,𒐏
zì,𒍥
šar,𒊬
be,𒁁
zimbir,𒌓𒄒𒉣
min,𒈫
giš,𒄑
má,𒈣
ṣa,𒍝
ʾa,𒀪
ud,𒌓
laṭ,𒆳
pir,𒌓
ʾi,𒀪
sizkur,𒀬
lak,𒋃
hun,𒂠
gá,𒂷
sipa,𒉺𒇻
iz,𒄑
bil,𒉈
26,𒌋𒌋𒐋
zib,𒍦
simug,𒌣
mar,𒈥
silim,𒁲
27,𒌋𒌋𒐌
garin,𒇑
60,𒐕
engar,𒀳
kis,𒆧
nim,𒉏
bán,𒑏
lik,𒌨
er,𒅕
lid,𒀖
š,š
du10,𒄭
mit,𒁁
29,𒌋𒌋𒑆
ìl,𒀭
ì,𒉌
iʾ,𒀪
f,𒊩
íl,𒅍
mat,𒆳
dam,𒁮
kin7,𒁺
sukkal,𒈛
aš,𒀸
22,𒌋𒌋𒈫
",3",",3"
gub,𒁺
2%3,𒑛
de,𒁲
rab,𒊐
šaṭ,𒆳
ṭu,𒂅
eri,𒌷
mut,𒄷𒄭
nunuz,𒉭
tah,𒈭
ak,𒀝
peš,𒄫
nì,𒃻
ka9,𒋃
ép,𒅁
mir,𒂇
lam,𒇴
50,𒐐
83,𒐕𒌋𒌋𒐈
93,𒐕𒌍𒐈
95,𒐕𒌍𒐊
41,𒐏𒁹
kaš,𒁉
ah,𒄴
54,𒐐𒐉
91,𒐕𒌍𒁹
23,𒌋𒌋𒐈
51,𒐐𒁹
5%6,𒑛
kád,𒆐
66,𒐕𒐋
53,𒐐𒐈
hab,𒆸
tam,𒌓
15,𒌋𒐊
nigin,𒆸𒆸
tal,𒊑
šil,𒋻
42,𒐏𒈫
56,𒐐𒐋
45,𒐏𒐊
GIŠ,𒄑
TUK,𒌇
35,𒌍𒐊
36,𒌍𒐋
zálag,𒂟
as,𒊍
75,𒐕𒌋𒐊
bit,𒂍
87,𒐕𒌋𒌋𒐌
82,𒐕𒌋𒌋𒈫
ṣal,𒉌
28,𒌋𒌋𒐍
tuq,𒌇
qin,𒆥
rat,𒋥
44,𒐏𒐉
37,𒌍𒐌
úr,𒌫
mur,𒄯
lu4,𒈝
33,𒌍𒐈
taš,𒌨
qip,𒄒
BA,𒁀
ua,𒇇
lab,𒆗
sig5,𒅆𒂟
tap,𒋰
gig,𒈪𒉭
79,𒐕𒌋𒑆
muk,𒈮
ke,𒆠
har,𒄯
zab,𒂟
m,𒁹
hir,𒆟
šitim,𒁶
ṣil,𒉣
šeb,𒈨
ṣib,𒍦
DI,𒁲
pur,𒁓
a4,𒀀𒀭
lib,𒈜
šip,𒈨
du8,𒃮
ur5,𒄯
šìr,𒂡
34,𒌍𒐉
64,𒐕𒐉
l,l
ama,𒂼
ub,𒌒
káb,𒅘
gil,𒄃
idim,𒅂
unug,𒀕
duk,𒂁
raq,𒊩
qát,𒋗
dag,𒁖
lah,𒌓
kul,𒆰
palil,𒅆𒁺
81,𒐕𒌋𒌋𒁹
líb,𒆗
máš,𒈧
uk,𒊌
ganba,𒆠𒇴
HU,𒄷
kib,𒄒
iš,𒅖
ṭè,𒉈
gab,𒃮
mad,𒆳
ṣip,𒍦
sùh,𒄗
là,𒆷
kiri6,𒊬
ban,𒉼
uq,𒊌
tùm,𒉐
63,𒐕𒐈
dil,𒀸
94,𒐕𒌍𒐉
muhaldim,𒈬
šim,𒋆
kaskal,𒆜
KU,𒆪
šap,𒉺𒅁
zabar,𒌓𒅗𒁇
aṣ,𒊍
ig,𒅅
gub5,𒆤
isin,𒉺𒊺
nanna,𒋀𒆠
dib,𒁳
ziq,𒍨
qur,𒄥
kir,𒄫
bara2,𒁈
pal,𒁄
52,𒐐𒈫
gir,𒄫
hum,𒈝
šèr,𒂡
gán,𒃷
pt,pt
IS,𒄑
lít,𒀖
r,r
ana,𒁹
ep,𒅁
ín,𒅔
ŠAH,𒋚
dim,𒁴
hat,𒉺
55,𒐐𒐊
šál,𒊩
70,𒐕𒌋
gišimmar,𒊷
ṣar,𒇡
luṭ,𒂁
qé,𒆠
dun,𒂄
zaq,𒍠
lut,𒂁
ét,𒀉
taq,𒋳
na4,𒉌𒌓
kišib,𒈩
%,𒑰
85,𒐕𒌋𒌋𒐊
pe,𒉿
gug,𒍝𒄢
bat,𒁁
agrig,𒅆𒁾
šad,𒆳
šunigin,𒋗𒃸
qit,𒆤
ug7,𒌀
46,𒐏𒐋
32,𒌍𒈫
62,𒐕𒈫
gissu,𒄑𒈪
šár,𒊹
DA,𒁕
zag,𒍠
dug,𒂁
per,𒌓
sis,𒋀
sin,𒌍
nar,𒈜
tuš,𒆪
rig7,𒉺𒄸𒁺
bur,𒁓
reb,𒆗
ik,𒅅
kùš,𒌑
tu15,𒅎
kut,𒋻
u18,𒍇
sila,𒋻
qat,𒋗
tak,𒋳
suk,𒆹
gaba,𒃮
qid,𒆤
haṣ,𒋻
el,𒂖
nad,𒆳
á,𒀉
AN,𒀭
ìb,𒅁
gìr,𒄊
ní,𒉎
us,𒊻
kuš,𒋢
UL,𒌌
IŠ,𒅖
ar,𒅈
ME,𒈨
dirig,𒋛𒀀
gur10,𒆥
enšada,𒉺𒌆
geme2,𒊩𒆳
aʾ,𒀪
ṣab,𒂟
ʾe,𒀪
he,𒄭
ugula,𒉺
geš,𒄑
LU,𒇻
eh,𒄴
ʾu,𒀪
sal,𒊩
SU,𒋢
73,𒐕𒌋𒐈
edin,𒂔
gàr,𒃼
šup,𒊒
gim,𒁶
ze,𒍣
n,n
nagín,nagin
sig,𒋝
nin,𒊩𒌆
sap,𒉺𒅁
gum,𒄣
rag,𒊩
nap,𒀮
nak,𒅘
dugud,𒂂
muq,𒈮
mès,𒈩
šib,𒈨
kas,𒆜
ṣe,𒍢
arhuš,𒃣
kun,𒆲
bak,𒄷
à,𒉿
gír,𒄈
lud,𒂁
pìr,𒌓
pú,𒇥
uh,𒄴
pít,𒂍
se,𒋛
ùr,𒃡
ṭer,𒋛𒀀
sur,𒋩
NU,𒉡
77,𒐕𒌋𒐌
86,𒐕𒌋𒌋𒐋
haš,𒋻
geštin,𒃾
78,𒐕𒌋𒐍
sumun,𒌀
egir,𒂕
kub,𒁺
šah,𒋚
NA,𒈾
IL,𒅋
HI,𒄭
ná,𒈿
šid,𒋃
laq,𒋃
uṣ,𒊻
hap,𒆸
iṣ,𒄑
NI,𒉌
šub,𒊒
qá,𒂵
til,𒌀
ag,𒀝
dur,𒄙
43,𒐏𒐈
tar,𒋻
nir,𒉪
pèš,𒈠
gis,𒄑
gul,𒄢
liq,𒌨
98,𒐕𒌍𒐍
šuk,𒉻
pad,𒉻
dup,𒁾
nagar,𒉄
šè,𒂠
diš,𒁹
90,𒐕𒌍
záh,𒉈
kám,𒄰
pul,𒇧
har2,𒄞
pár,𒁇
GEŠTIN,𒃾
ada,𒀜
