label,0,1,2,3,4,5,6,7,8,9,10,11,12,13
𒐋,6,,,,,,,,,,,,,
𒇻,udu,lu,LU,,,,,,,,,,,
𒀴,nita2,ìr,,,,,,,,,,,,
𒀸,ina,aš,dil,,,,,,,,,,,
𒋗,šu,qát,qat,,,,,,,,,,,
𒅀,II,ia,,,,,,,,,,,,
𒁹,I,1,m,ana,diš,,,,,,,,,
𒀭+𒂗,d+en,,,,,,,,,,,,,
𒄀,gi,,,,,,,,,,,,,
𒀀,a,,,,,,,,,,,,,
𒋙,šú,,,,,,,,,,,,,
𒃻,šá,níg,ninda,gar,nì,,,,,,,,,
𒀭,d,an,dingir,ìl,AN,,,,,,,,,
𒈾,na,NA,NÀ,,,,,,,,,,,
𒐍,8,,,,,,,,,,,,,
𒂆,gín,,,,,,,,,,,,,
𒐉,4,,,,,,,,,,,,,
𒌓,tú,babbar,utu,u4,ut,UD,par,ud,pir,tam,lah,per,pìr,tàm
𒆬,kù,,,,,,,,,,,,,
𒄿,i,,,,,,,,,,,,,
𒁲,di,ṭi,sá,silim,de,DI,šùl,ṭe,,,,,,
𒂍,é,bit,pít,pit,bít,,,,,,,,,
𒊏,ra,,,,,,,,,,,,,
𒀉,it,iṭ,id,ét,á,eṭ,,,,,,,,
𒋫,ta,,,,,,,,,,,,,
𒁷,din,tin,,,,,,,,,,,,
𒐊,5,iá,,,,,,,,,,,,
𒅗,ka,zú,,,,,,,,,,,,
𒈲,ṣir,,,,,,,,,,,,,
𒈬,mu,muhaldim,,,,,,,,,,,,
𒐌,7,,,,,,,,,,,,,
𒌋𒅗,muh,ugu,,,,,,,,,,,,
𒄭,hi,du10,he,HI,,,,,,,,,,
𒌋𒌆,dul,,,,,,,,,,,,,
𒌑,ú,šam,kùš,ba6,,,,,,,,,,
𒋢,su,kuš,SU,,,,,,,,,,,
𒊮,lìb,šà,,,,,,,,,,,,
𒁉,bi,bé,kaš,pí,,,,,,,,,,
𒋧,sì,sum,,,,,,,,,,,,
𒁀,ba,BA,,,,,,,,,,,,
𒁺,DU,gin,du,kup,kin7,gub,kub,,,,,,,
𒉽,pap,,,,,,,,,,,,,
𒌋𒐈,13,,,,,,,,,,,,,
𒈨𒌍,meš,,,,,,,,,,,,,
𒌗,iti,,,,,,,,,,,,,
𒇯,du6,,,,,,,,,,,,,
𒊕,sag,šak,,,,,,,,,,,,
𒉆,nam,bir5,,,,,,,,,,,,
𒈗,lugal,,,,,,,,,,,,,
𒆷,la,là,,,,,,,,,,,,
𒆪,ku,KU,tuš,,,,,,,,,,,
𒀾,áš,,,,,,,,,,,,,
𒌁,tir,,,,,,,,,,,,,
𒆠,ki,qí,KI,ke,qé,,,,,,,,,
𒌋,u,10,,,,,,,,,,,,
𒆳,kur,sat,gìn,lat,laṭ,mat,šaṭ,mad,šad,nad,šat,,,
𒄥,gur,qur,,,,,,,,,,,,
𒊺,še,,,,,,,,,,,,,
𒁇,bar,bár,pár,,,,,,,,,,,
𒉻,kurum6,šuk,pad,pat,,,,,,,,,,
𒄭𒀀,há,,,,,,,,,,,,,
𒇽,lú,,,,,,,,,,,,,
𒂟,erin2,zalag2,zálag,zab,ṣab,,,,,,,,,
𒂊,e,,,,,,,,,,,,,
𒄫,piš,qir,peš,kir,gir,,,,,,,,,
𒉿,pi,pe,à,PI,,,,,,,,,,
𒃲,gal,qal,,,,,,,,,,,,
𒁴,tì,dim,,,,,,,,,,,,
𒀳,apin,engar,,,,,,,,,,,,
𒌋𒌋𒐉,24,,,,,,,,,,,,,
𒄰,kam,kám,,,,,,,,,,,,
",1",",1",,,,,,,,,,,,,
0.4,0.4,,,,,,,,,,,,,
𒆰,numun,kul,,,,,,,,,,,,
𒂄,šul,dun,,,,,,,,,,,,
𒌷,uru,eri,alú,,,,,,,,,,,
𒌒,up,ár,ub,,,,,,,,,,,
𒉺,pa,PA,hat,ugula,,,,,,,,,,
𒌈,tu4,íb,dum,,,,,,,,,,,
𒈪,mi,,,,,,,,,,,,,
𒊑,re,ri,tal,,,,,,,,,,,
𒌍,eš,30,sin,,,,,,,,,,,
𒅇,ù,,,,,,,,,,,,,
𒂵,ga,qá,,,,,,,,,,,,
𒁍,pu,bu,gíd,,,,,,,,,,,
𒄩,ha,,,,,,,,,,,,,
𒋾,ti,,,,,,,,,,,,,
𒀭+𒈾,d+nà,,,,,,,,,,,,,
𒆕,dù,,,,,,,,,,,,,
𒋀,šeš,šes,sis,,,,,,,,,,,
𒀫,amar,ṣur,,,,,,,,,,,,
𒀜,ad,at,ada,aṭ,,,,,,,,,,
𒌅,tu,ṭú,,,,,,,,,,,,
𒍑,ús,uš,,,,,,,,,,,,
𒊓,sa,,,,,,,,,,,,,
𒋛,si,se,,,,,,,,,,,,
𒋰,tab,tap,,,,,,,,,,,,
𒉌,né,ni,ì,ṣal,NI,,,,,,,,,
𒈠,ma,pèš,,,,,,,,,,,,
𒅕,ir,er,,,,,,,,,,,,
𒅎,im,IM,tu15,,,,,,,,,,,
